"name","min_players","max_players","play_time","min_age","users_rated","rating_average","bgg_rank","complexity_average","mechanics","domains","game_age","Stars"
"18CLE",3,6,270,18,44,7.33,10019,4,"Auction,Bidding, Network and Route Building, Stock Holding, Tile Placement","Basic",6,"4"
"STEM: Epic Heroes",2,4,30,13,158,6.23,10020,1.58,"Set Collection, Take That","Basic",5,"4"
"Imperial Governor & Strategos",2,6,120,12,64,6.88,10021,2.2,"Hexagon Grid, Simulation","Wargames",43,"4"
"Le Temps des As",1,4,90,10,44,7.59,10022,2.67,"Action Points, Dice Rolling, Hexagon Grid","Wargames",8,"4"
"Expedite",2,4,30,14,75,7.13,10023,1.86,"Card Drafting, Hand Management, Network and Route Building","Strategy Games",10,"4"
"Eclipse",2,2,15,8,156,6.13,10024,1.89,"Not mentioned","Abstract Games",23,"4"
"Dragon's Cave",2,4,0,7,84,6.53,10025,1,"Action Retrieval, Push Your Luck","Basic",3,"4"
"Kriegbot",2,6,120,0,62,7.17,10026,2.67,"Variable Player Powers","Wargames",14,"4"
"Decision in France",2,3,360,12,57,6.85,10027,3,"Hexagon Grid","Wargames",28,"4"
"Duel for Kharkov",2,2,180,12,58,7.14,10028,3.55,"Hexagon Grid","Wargames",37,"4"
"Page Quest SEASON 1: Mythical Artifacts",1,2,20,12,49,7.06,10029,2,"Dice Rolling, Variable Player Powers","Basic",4,"4"
"MedWar Sicily",1,4,120,10,84,6.47,10030,2.28,"Campaign , Battle Card Driven, Dice Rolling, Hexagon Grid, Simulation","Wargames",13,"4"
"Pencil Park",1,10,20,14,65,6.85,10031,1.8,"Dice Rolling, Simultaneous Action Selection, Tile Placement","Basic",5,"4"
"The Great Wall",1,4,180,13,75,7.41,10032,3.17,"Command Cards, Income, Investment, Secret Unit Deployment, Turn Order: Claim Action, Worker Placement, Worker Placement, Different Worker Types","Basic",1,"4"
"Zerywia",1,4,150,13,37,8.7,10033,3,"Cooperative Game, Dice Rolling, Push Your Luck, Storytelling","Basic",1,"5"
"800 Heroes: Defense of Sihang Warehouse",1,2,30,10,61,6.87,10034,1.7,"Action Points, Dice Rolling, Simulation","Wargames",13,"4"
"Close Assault: A Man-to-Man Game of Squad Tactics and Command - Europe 1939-1945",1,4,90,12,53,7.16,10035,2.88,"Action Points, Chit-Pull System, Dice Rolling, Grid Movement, Hexagon Grid, Scenario , Mission , Campaign Game, Simulation","Wargames",39,"4"
"Alexandria, 1801",2,2,240,12,50,7.35,10036,3.2,"Hexagon Grid, Simulation","Wargames",26,"4"
"Pirate Tricks",3,5,45,8,50,7.02,10037,2,"Hand Management, Trick-taking","Basic",3,"4"
"Aikamatka: Suomi",1,8,60,10,65,6.68,10038,1,"Card Drafting, Solo , Solitaire Game","Basic",5,"4"
"Micro Monsters",2,4,30,6,76,6.64,10039,1,"Dice Rolling, Variable Player Powers","Basic",10,"4"
"Four Suspects",2,5,45,10,64,6.79,10040,2,"Not mentioned","Basic",6,"4"
"D6 Dungeon",2,2,20,10,85,6.59,10041,2,"Dice Rolling, Hand Management, Network and Route Building, Tile Placement","Basic",2022,"4"
"Humboldt's Great Voyage",2,4,60,10,148,6.14,10042,1.8,"Card Drafting, Mancala, Point to Point Movement, Set Collection","Basic",3,"4"
"Parkies",2,6,60,12,51,7.2,10043,2.5,"Auction,Bidding, Modular Board, Tile Placement","Basic",7,"4"
"5150",2,4,120,12,48,7.31,10044,2.6,"Dice Rolling, Line of Sight, Measurement Movement, Simulation","Wargames",16,"4"
"Rise!",2,2,20,8,186,6.08,10045,1.83,"Area Majority , Influence, Area Movement, Enclosure, Modular Board, Tile Placement","Abstract Games",10,"4"
"Kings of War (Second Edition)",2,2,60,0,40,8.09,10046,3,"Dice Rolling, Measurement Movement, Variable Player Powers","Basic",7,"5"
"The Walking Dead: The Board Game",1,6,60,13,1075,5.71,10047,2.03,"Dice Rolling, Grid Movement, Player Elimination, Team-Based Game, Variable Player Powers","Thematic Games",11,"3"
"HOPE",2,4,60,12,173,6.27,10048,2.8,"Area Movement, Time Track","Basic",4,"4"
"String Safari",3,5,30,10,163,6.01,10049,1.44,"Modular Board, Tile Placement","Basic",9,"4"
"Deukalion",2,4,60,10,206,5.95,10050,2.18,"Dice Rolling, Grid Movement, Pick-up and Deliver","Basic",14,"3"
"Kaleidos Junior",2,99,30,5,70,6.72,10051,0,"Paper-and-Pencil, Pattern Recognition","Children's Games",25,"4"
"Destroyer Captain",2,6,90,12,42,7.52,10052,3,"Dice Rolling, Hexagon Grid, Simulation","Wargames",43,"4"
"Qyshinsu: Mystery of the Way",2,2,15,0,81,6.71,10053,3,"Not mentioned","Abstract Games",14,"4"
"Maloney's Inheritance",3,6,45,12,190,5.98,10054,2,"Auction,Bidding","Family Games, Strategy Games",34,"3"
"Get Adler! Deduction Card Game",4,8,30,10,93,7.2,10055,1.5,"Hand Management, Memory","Basic",6,"4"
"Attack of the Mutants!",2,2,60,12,116,6.33,10056,2,"Area Movement, Dice Rolling, Grid Movement, Line of Sight, Simulation","Wargames",41,"4"
"Song of Arthur and Merlin",1,2,45,0,39,8.23,10057,2.4,"Dice Rolling, Variable Player Powers","Basic",14,"5"
"MixUp",2,2,20,8,115,6.28,10058,1.67,"Pattern Building, Tile Placement","Abstract Games",16,"4"
"Secret Operation",4,10,25,10,69,6.72,10059,1,"Set Collection, Team-Based Game, Traitor Game","Basic",3,"4"
"Solomons Campaign: Air, Land, and Sea Warfare, Pacific 1942",2,2,180,12,52,7.45,10060,3.85,"Area Movement, Dice Rolling, Hexagon Grid, Simulation, Simultaneous Action Selection","Wargames",49,"4"
"Guardians of Xobos",2,4,90,12,56,7.6,10061,3.5,"Not mentioned","Basic",4,"4"
"15 Days",1,4,30,0,37,7.53,10062,2,"Hand Management, Set Collection","Basic",2,"4"
